Product Name,Price,Seller,City,Sold,Rating,Revenue,Price_Category,Popular_Product
"[HARGA SPESIAL] Paket BM 3: 1 Seblak + 1 Cuankie + 1 Basreng Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",55000,Rasa Juara Indonesia,Kab. Bandung,50,5.0,2750000,Mahal,No
Buku Anak Komik Next G Seblak Level Pedas,28160,Mizanstore.id,Kab. Sidoarjo,15,5.0,422400,Mahal,No
Buku Komik Next G vol. 664: Tragedi Seblak | Muffin Graphics,34320,Mizanstore.id,Kab. Sidoarjo,50,4.9,1716000,Mahal,No
"[HARGA SPESIAL] Paket BM 1: 2 Seblak + 1 Cuankie Juara Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",0,Rasa Juara Indonesia,Kab. Bandung,70,4.8,0,,No
SUBRON Panci Masak Paket 8IN1 14CM 17CM 6pcs Sendok Stainless Tebal Panas Merata Tahan Lama Murah Multifungsi Masak Seafood Mie Instan Saus Capcay Oatmeal Sarden Seblak Rebus,59900,SUBRON KITCHENWARE,Kab. Bandung,29,4.7,1737100,Mahal,No
"[HARGA SPESIAL] Paket BM 2: 2 Cuankie + 1 Seblak Juara Bebas Pilih Rasa | Original, Rendang, Kare, Ayam Bawang, Limau, Pedas",0,Rasa Juara Indonesia,Kab. Bandung,60,4.3,0,,No
SUBRON Panci Ramyun Stainless 14CM 17CM Estetik Tebal Anti Karat Cepat Panas Multifungsi Masak Rebus Pasta Seblak Siomay Dimsum Odeng Kimchi Dumpling Telur Seafood Rabokki Hotpot Serbaguna,37500,SUBRON KITCHENWARE,Kab. Bandung,250,4.1,9375000,Mahal,Yes
SUBRON Panci Mini Stainless Steel 14CM 17Cm Gagang Kayu Tahan Panas Kokoh Anti Karat Serbaguna Wadah Makanan Mangkok Mie Kuah Seblak Suki Ramen Hotpot Snack Kentang Goreng Cemilan,26900,SUBRON KITCHENWARE,Kab. Bandung,24,4.0,645600,Mahal,No
CAP IBU Bumbu Seblak Bandung - Bumbu Masak Instan Premium,0,Cap Ibu Shop,Jakarta Timur,250,5.0,0,,Yes
Seblak Kuah Instan Ibro Bandung,28599,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250,5.0,7149750,Mahal,Yes
Unknown,0,No Seller,Unknown City,0,0.0,0,,No
1KG KERUPUK SEBLAK JENGKOL PEDAS,60000,CEMILANKU KAYA BUMBU,Kab.Ciamis,80,4.8,4800000,Mahal,No
Seblak Juara - Seblak Instan Asli Bandung | Otentik & Higienis,22000,Rasa Juara Indonesia,Kab. Bandung,2,4.8,44000,Sedang,No
500GR SEBLAK KRUPUK RAFAEL VIRAL,40000,CEMILANKU KAYA BUMBU,Kab.Ciamis,100,4.8,4000000,Mahal,Yes
Kylafood Seblak Rempah Autentik isi (10pcs),125000,Kylafood,Bandung,250,4.8,31250000,Mahal,Yes
Mama Fuji - SEBLAK INSTAN Food Noodles,31999,Mama Fuji Real,Tangerang,2,4.8,63998,Mahal,No
Kylafood Paket 2 Seblak Cup + 2 Basreng pedas,59000,Kylafood,Bandung,70,4.8,4130000,Mahal,No
1KG SEBLAK CAMPUR DAUN JERUK,50000,CEMILANKU KAYA BUMBU,Kab.Ciamis,70,4.8,3500000,Mahal,No
INDOMIE MI INSTANT RASA SEBLAK HOT JELET,3410,Hypermart Cirebon,Cirebon,100,4.8,341000,Murah,Yes
Kylafood Paket Seblak Cup intant isi 6 PCS Instan Pedas,90000,Kylafood,Bandung,750,4.8,67500000,Mahal,Yes
"Kylafood Paket Combo Hemat (2 Seblak Rempah, 2 Seblak Cup, 1 Basreng Pedas dan Original)",84000,Kylafood,Bandung,250,4.8,21000000,Mahal,Yes
Seblak Krupuk Jengkol 1 kg pedas (kukarasa snack) Cemilan,49999,KUKARASA SNACK,Kab. Tasikmalaya,11,4.7,549989,Mahal,No
Kylafood Paket Seblak Cup instan isi 2 PCS Pedas,30500,Kylafood,Bandung,10,4.7,305000,Mahal,No
1KG SEBLAK KERUPUK BETON DAUN JERUK / KERUPUK JAAT Cemilan Pedas Food,50000,CEMILANKU KAYA BUMBU,Kab.Ciamis,1,4.7,50000,Mahal,No
"Kylafood Paket (Seblak Cup, Seblak Rempah, Basreng Pedas, Basreng Ori)",57500,Kylafood,Bandung,40,4.7,2300000,Mahal,No
Kylafood Seblak Cup isi 1 pcs Jajanan instan,14650,Kylafood,Bandung,10,4.7,146500,Sedang,No
